"","True Classifier","Fitted Classifier","n","k","K","Balancing index","Fitting time","MeanPrecision","MicroPrecision","MacroPrecision","MacroRecall","MacroFscore"
"78","TreeMix","SVM","Mid","Small","Mid",0.269230769230769,0.224869966506958,0.957333333333333,0.872,0.880301615912081,0.862483477423008,0.871301460835898
"79","TreeMix","SVM","Mid","Mid","Small",0.188775510204082,0.167010068893433,0.930666666666667,0.896,0.886800837131963,0.844556677890011,0.865163390530287
"80","TreeMix","SVM","Mid","Mid","Mid",0.152173913043478,0.378012895584106,0.958,0.748,0.766084181031344,0.729943979862987,0.747577553189648
"81","BagMix","Tree","Small","Small","Small",0.388888888888889,0.0159881114959717,1,1,1,1,1
"82","BagMix","Tree","Small","Small","Mid",0.136363636363636,0.0210020542144775,0.88,0.76,NA,NA,NA
"83","BagMix","Tree","Small","Mid","Small",0.176470588235294,0.0169999599456787,0.88,0.88,0.9375,0.625,0.75
"84","BagMix","Tree","Small","Mid","Mid",0.35,0.0290100574493408,0.85,0.4,0.397321428571429,0.391666666666667,0.394473783477933
"85","BagMix","Tree","Mid","Small","Small",0.280409731113956,0.0320069789886475,0.896,0.896,0.908997252747253,0.806537405628003,0.854707635750235
"86","BagMix","Tree","Mid","Small","Mid",0.225409836065574,0.0430078506469727,0.888,0.664,NA,0.589010321797207,NA
"87","BagMix","Tree","Mid","Mid","Small",0.662468513853904,0.0410020351409912,0.778666666666667,0.668,0.654505811779137,0.654991835125852,0.654748733258101
"88","BagMix","Tree","Mid","Mid","Mid",0.183908045977011,0.0650038719177246,0.888666666666667,0.332,NA,0.284942618025412,NA
"89","BagMix","Bag","Small","Small","Small",0.388888888888889,0.212997913360596,0.84,0.84,0.684782608695652,0.601190476190476,0.64026967196619
"90","BagMix","Bag","Small","Small","Mid",0.851851851851852,0.196002006530762,0.92,0.84,0.85,0.85,0.85
"91","BagMix","Bag","Small","Mid","Small",0.785714285714286,0.216016054153442,0.92,0.92,0.928571428571429,0.923076923076923,0.925816023738872
"92","BagMix","Bag","Small","Mid","Mid",0.6,0.200014114379883,0.89,0.56,NA,NA,NA
"93","BagMix","Bag","Mid","Small","Small",0.38121546961326,2.88376998901367,0.956,0.956,0.94719353030667,0.943253968253968,0.945219644392672
"94","BagMix","Bag","Mid","Small","Mid",0.590697674418605,2.91723608970642,0.961333333333333,0.884,0.880688716168592,0.883514341409078,0.88209926596598
"95","BagMix","Bag","Mid","Mid","Small",0.314741035856574,3.20724320411682,0.906666666666667,0.86,0.840135464395235,0.826453265044814,0.833238201319974
"96","BagMix","Bag","Mid","Mid","Mid",0.136094674556213,4.9328761100769,0.932666666666667,0.596,0.53511367130886,0.55763002586557,0.546139870025438
"97","BagMix","For","Small","Small","Small",0.515151515151515,0.0169939994812012,1,1,1,1,1
"98","BagMix","For","Small","Small","Mid",0.212765957446809,0.0210020542144775,0.92,0.84,0.607142857142857,0.694444444444444,0.647865853658537
"99","BagMix","For","Small","Mid","Small",0.265822784810127,0.0200009346008301,0.88,0.88,0.787878787878788,0.726190476190476,0.755777936621396
"100","BagMix","For","Small","Mid","Mid",0.166666666666667,0.0260078907012939,0.91,0.64,NA,0.65,NA
"101","BagMix","For","Mid","Small","Small",0.447178002894356,0.283585071563721,0.948,0.948,0.928216830811114,0.940382081686429,0.934259856169838
"102","BagMix","For","Mid","Small","Mid",0.67027027027027,0.33801007270813,0.969333333333333,0.908,0.9111006008273,0.900276028767346,0.905655971617455
"103","BagMix","For","Mid","Mid","Small",0.4,0.358027935028076,0.92,0.88,0.886202686202686,0.874616229551,0.880371337552106
"104","BagMix","For","Mid","Mid","Mid",0.0833333333333333,0.528921127319336,0.962666666666667,0.776,0.64432552511197,0.622442153363206,0.633194821958717
"105","BagMix","Boo","Small","Small","Small",0.587301587301587,17.8726739883423,0.96,0.96,0.961538461538462,0.961538461538462,0.961538461538462
"106","BagMix","Boo","Small","Small","Mid",0.155555555555556,17.8270518779755,0.92,0.84,0.909722222222222,0.822222222222222,0.863761917490867
"107","BagMix","Boo","Small","Mid","Small",0.851851851851852,17.6221849918365,0.92,0.92,0.919871794871795,0.919871794871795,0.919871794871795
"108","BagMix","Boo","Small","Mid","Mid",0.0769230769230769,17.7021660804749,0.87,0.48,NA,NA,NA
"109","BagMix","Boo","Mid","Small","Small",0.466275659824047,175.930124998093,0.956,0.956,0.957812842428227,0.944342030629609,0.951029737266075
"110","BagMix","Boo","Mid","Small","Mid",0.284518828451883,178.147556066513,0.962666666666667,0.888,0.881681364673408,0.896649172864385,0.889102278431242
"111","BagMix","Boo","Mid","Mid","Small",0.310283687943262,175.232445001602,0.898666666666667,0.848,0.866522988505747,0.794890555453936,0.829162543126171
"112","BagMix","Boo","Mid","Mid","Mid",0.106382978723404,189.595885038376,0.927333333333333,0.564,0.633195049929205,0.51094234567232,0.56553726033723
"113","BagMix","SVM","Small","Small","Small",0.639344262295082,0.0988359451293945,1,1,1,1,1
"114","BagMix","SVM","Small","Small","Mid",0.388888888888889,0.0511720180511475,0.94,0.88,0.916666666666667,0.875,0.895348837209302
"115","BagMix","SVM","Small","Mid","Small",0.851851851851852,0.0220019817352295,0.8,0.8,0.819852941176471,0.782467532467533,0.800724097857505
"116","BagMix","SVM","Small","Mid","Mid",0.4375,0.0640549659729004,0.9,0.6,NA,NA,NA
"117","BagMix","SVM","Mid","Small","Small",0.919385796545106,0.244338035583496,0.96,0.96,0.960169057377049,0.959933435739887,0.960051232101543
"118","BagMix","SVM","Mid","Small","Mid",0.330882352941176,0.239056825637817,0.965333333333333,0.896,0.901761649240139,0.879186567789509,0.890331029031201
"119","BagMix","SVM","Mid","Mid","Small",0.109546165884194,0.200037002563477,0.928,0.892,0.879586993675364,0.836009047776674,0.857244557870293
"120","BagMix","SVM","Mid","Mid","Mid",0.201342281879195,0.385362863540649,0.964,0.784,0.828374739034836,0.72631484299441,0.77399485463498
"121","ForMix","Tree","Small","Small","Small",0.315789473684211,0.016981840133667,0.76,0.76,0.746031746031746,0.715277777777778,0.730331145809761
"122","ForMix","Tree","Small","Small","Mid",0.470588235294118,0.0260038375854492,0.88,0.76,0.792857142857143,0.763888888888889,0.778103492225338
"123","ForMix","Tree","Small","Mid","Small",0.0526315789473684,0.0150008201599121,1,1,NA,NA,NA
"124","ForMix","Tree","Small","Mid","Mid",0.269230769230769,0.0339899063110352,0.81,0.24,NA,0.129166666666667,NA
"125","ForMix","Tree","Mid","Small","Small",0.841620626151013,0.0340001583099365,0.804,0.804,0.804559426229508,0.804696008712922,0.804627711675126
"126","ForMix","Tree","Mid","Small","Mid",0.0694864048338369,0.04398512840271,0.906666666666667,0.72,NA,0.509116161616162,NA
"127","ForMix","Tree","Mid","Mid","Small",0.240847784200385,0.043004035949707,0.770666666666667,0.656,0.604770367772854,0.573806560983967,0.588881720742308
"128","ForMix","Tree","Mid","Mid","Mid",0.0648648648648649,0.0540060997009277,0.89,0.34,NA,0.248436748436748,NA
"129","ForMix","Bag","Small","Small","Small",1,0.155013084411621,0.92,0.92,0.923076923076923,0.928571428571429,0.925816023738872
"130","ForMix","Bag","Small","Small","Mid",0.358974358974359,0.182024002075195,0.88,0.76,0.782828282828283,0.761904761904762,0.772224817063677
"131","ForMix","Bag","Small","Mid","Small",0.754385964912281,0.202019929885864,0.84,0.84,0.850694444444444,0.827922077922078,0.839153794492948
"132","ForMix","Bag","Small","Mid","Mid",0.0909090909090909,0.202022075653076,0.92,0.68,NA,NA,NA
"133","ForMix","Bag","Mid","Small","Small",0.501501501501502,2.38219308853149,0.936,0.936,0.931550802139037,0.926803469430929,0.929171072041329
"134","ForMix","Bag","Mid","Small","Mid",0.144230769230769,2.66920208930969,0.962666666666667,0.888,0.90931544089153,0.873446624756249,0.891020196121186
"135","ForMix","Bag","Mid","Mid","Small",0.476958525345622,3.31424880027771,0.866666666666667,0.8,0.799273523411455,0.767455718807723,0.783041536347231
"136","ForMix","Bag","Mid","Mid","Mid",0.16260162601626,4.56534290313721,0.942666666666667,0.656,0.645840434255766,0.632873921146232,0.639291435707289
"137","ForMix","For","Small","Small","Small",0.388888888888889,0.0139830112457275,1,1,1,1,1
"138","ForMix","For","Small","Small","Mid",0.314285714285714,0.0229909420013428,0.96,0.92,0.84375,0.933035714285714,0.886149497487437
